ano,semana,subregion,red,microred,e_salud,ubigeo,feb_m1,feb_1_4,feb_5_9,feb_10_19,feb_20_59,feb_m60,fecha_ing,clave,estado,feb_tot,fecha_not,fecha_ate,tot_aten
2006,14,52,5,0,150107A201,150107,1,0,0,0,0,0,08-04-2006,,1,1,09-04-2006,,0
2006,14,52,5,0,150107A201,150107,1,0,0,0,0,0,08-04-2006,,1,1,09-04-2006,,0
2006,14,52,5,0,150107A201,150107,0,1,0,0,0,0,08-04-2006,,1,1,09-04-2006,,0
2006,17,52,5,0,150107A201,150107,1,0,0,1,0,0,29-04-2006,,1,2,30-04-2006,,0
2006,17,52,5,0,150107A201,150107,0,0,1,0,0,0,29-04-2006,,1,1,30-04-2006,,0
2006,17,52,5,0,150107A201,150107,0,1,0,1,1,0,29-04-2006,,1,3,30-04-2006,,0
2006,17,52,5,0,150107A201,150107,0,0,3,1,0,0,29-04-2006,,1,4,30-04-2006,,0
2006,19,52,5,0,150107A201,150107,0,1,0,0,0,0,13-05-2006,,1,1,14-05-2006,,0
2006,19,52,5,0,150107A201,150107,0,1,0,0,0,0,13-05-2006,,1,1,14-05-2006,,0
2006,19,52,5,0,150107A201,150107,0,0,1,0,0,0,13-05-2006,,1,1,14-05-2006,,0
2006,19,52,5,0,150107A201,150107,0,0,0,1,0,0,13-05-2006,,1,1,14-05-2006,,0
2006,19,52,5,0,150107A201,150107,0,0,0,0,1,0,13-05-2006,,1,1,14-05-2006,,0
2006,19,52,5,0,150107A201,150107,0,1,0,1,0,0,13-05-2006,,1,2,14-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,1,0,0,3,0,20-05-2006,,1,4,21-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,0,1,0,0,0,20-05-2006,,1,1,21-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,0,0,1,0,0,20-05-2006,,1,1,21-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,0,0,0,1,0,20-05-2006,,1,1,21-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,0,0,0,1,0,20-05-2006,,1,1,21-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,1,0,0,0,0,20-05-2006,,1,1,21-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,1,0,0,0,0,20-05-2006,,1,1,21-05-2006,,0
2006,20,52,5,0,150107A201,150107,0,0,0,0,1,0,20-05-2006,,1,1,21-05-2006,,0
2006,21,52,5,0,150107A201,150107,1,0,0,0,0,0,26-05-2006,,1,1,27-05-2006,,0
2006,21,52,5,0,150107A201,150107,0,0,0,1,0,0,26-05-2006,,1,1,27-05-2006,,0
2006,21,52,5,0,150107A201,150107,0,0,0,0,1,1,26-05-2006,,1,2,27-05-2006,,0
2006,22,52,5,0,150107A201,150107,0,0,0,1,0,0,02-06-2006,,1,1,03-06-2006,,0
2006,22,52,5,0,150107A201,150107,0,0,0,0,1,0,02-06-2006,,1,1,03-06-2006,,0
2006,22,52,5,0,150107A201,150107,0,1,0,0,0,0,02-06-2006,,1,1,03-06-2006,,0
2006,22,52,5,0,150107A201,150107,0,0,1,0,0,0,02-06-2006,,1,1,03-06-2006,,0
2006,22,52,5,0,150107A201,150107,0,0,0,0,1,0,02-06-2006,,1,1,03-06-2006,,0
2006,22,52,5,0,150107A201,150107,0,0,0,0,1,0,02-06-2006,,1,1,03-06-2006,,0
2006,22,52,5,0,150107A201,150107,0,0,0,0,1,0,02-06-2006,,1,1,03-06-2006,,0
2006,22,52,5,0,150107A201,150107,0,1,0,0,0,0,02-06-2006,,1,1,03-06-2006,,0
2006,25,52,5,0,150107A201,150107,0,1,0,0,0,0,23-06-2006,,1,1,24-06-2006,,0
2006,25,52,5,0,150107A201,150107,0,0,1,1,0,0,23-06-2006,,1,2,24-06-2006,,0
2006,25,52,5,0,150107A201,150107,0,1,0,0,0,0,23-06-2006,,1,1,24-06-2006,,0
2006,25,52,5,0,150107A201,150107,0,1,0,0,0,0,23-06-2006,,1,1,24-06-2006,,0
2006,25,52,5,0,150107A201,150107,0,1,0,0,0,0,23-06-2006,,1,1,24-06-2006,,0
2006,24,52,5,0,150107A201,150107,0,0,1,0,0,0,16-06-2006,,1,1,17-06-2006,,0
2006,24,52,5,0,150107A201,150107,0,0,1,0,0,0,16-06-2006,,1,1,17-06-2006,,0
2006,24,52,5,0,150107A201,150107,0,0,0,1,0,0,16-06-2006,,1,1,17-06-2006,,0
2006,24,52,5,0,150107A201,150107,0,0,0,0,1,0,16-06-2006,,1,1,17-06-2006,,0
2006,24,52,5,0,150107A201,150107,0,0,0,0,0,1,16-06-2006,,1,1,17-06-2006,,0
2006,24,52,5,0,150107A201,150107,0,2,0,0,0,0,16-06-2006,,1,2,17-06-2006,,0
2006,24,52,5,0,150107A201,150107,0,1,0,0,0,0,16-06-2006,,1,1,17-06-2006,,0
2006,27,52,5,0,150107A201,150107,0,1,0,0,0,0,07-07-2006,,1,1,08-07-2006,,0
2006,27,52,5,0,150107A201,150107,0,1,1,0,1,0,07-07-2006,,1,3,08-07-2006,,0
2006,27,52,5,0,150107A201,150107,0,1,0,0,0,0,07-07-2006,,1,1,08-07-2006,,0
2006,27,52,5,0,150107A201,150107,0,0,1,0,0,0,07-07-2006,,1,1,08-07-2006,,0
2006,27,52,5,0,150107A201,150107,0,1,0,0,0,0,07-07-2006,,1,1,08-07-2006,,0
2006,28,52,5,0,150107A201,150107,0,0,0,0,1,0,14-07-2006,,1,1,15-07-2006,,0
2006,28,52,5,0,150107A201,150107,0,0,0,0,1,0,14-07-2006,,1,1,15-07-2006,,0
2006,28,52,5,0,150107A201,150107,0,0,1,0,1,0,14-07-2006,,1,2,15-07-2006,,0
2006,28,52,5,0,150107A201,150107,1,0,0,0,0,0,14-07-2006,,1,1,15-07-2006,,0
2006,28,52,5,0,150107A201,150107,0,0,1,0,0,0,14-07-2006,,1,1,15-07-2006,,0
2006,29,52,5,0,150107A201,150107,0,1,0,0,0,0,21-07-2006,,1,1,22-07-2006,,0
2006,29,52,5,0,150107A201,150107,0,1,0,0,0,0,21-07-2006,,1,1,22-07-2006,,0
2006,29,52,5,0,150107A201,150107,1,1,0,0,0,0,21-07-2006,,1,2,22-07-2006,,0
